sendid,parked,send_nombre,largo,dificultad,duracion
62,5,VÍA VERDE DE LA COSTA NOROESTE DE FUENTE AMARGA,6198.9617,ALTA,166
63,5,EL SALTADERO MUELA-LOS NACIMIENTOS,19959.8255,BAJA,255
64,5,FUENTES RURALES DE BENALUP-CASAS VIEJAS DEL GUADIARO,11904.2939,MUY ALTA,261
65,5,SIERRA DEL CALVARIO DE PUERTO OSCURO,1881.2855,ALTA,286
66,5,LAS VENTAS TRASHUMANTES VERDE DOS BAHIAS. TRAMO IV,8248.0792,BAJA,146
67,5,SUBIDA AL TAJO DE UTRERA DEL BOQUERÓN,10373.871,ALTA,129
68,5,LAS PLATERAS AL PICO ALBARRACÍN,6039.4076,BAJA,272
69,5,DOLMEN DE LOS LAJARES Y CANCHA BERMEJA PLATERAS,10385.3322,BAJA,201
70,5,ZAHARA DE LOS ATUNES-ATLANTERRA DEL RETÍN Y LA PLATA,5048.4044,BAJA,253
71,5,ALGODONALES-LOS NACIMIENTOS DE LA ASOMADA,13861.649,ALTA,137
72,5,LA LADERA CAÑILLO,9942.55,MEDIA,107
73,5,CABO DE TRAFALGAR-CONIL DE LA FRONTERA DE LAS MOCITAS,17383.844,BAJA,297
74,5,MONTE DE LA TORRE DEL RÍO HONDÓN,12101.3311,MUY ALTA,204
75,6,EL SALTILLO DE LOS POZOS,3036.7412,BAJA,152
76,6,RUTA DEL VIAJERO RECREATIVA PINAR DEL REY,1098.1605,MEDIA,124
77,6,LA BODEGA DE MEDINA,19272.1529,MUY BAJA,127
78,6,RUINAS DE ESPERILLA DEL RINCONCILLO,19094.6602,ALTA,123
79,6,LA BODEGA DEL CAPITÁN,4474.0223,MUY ALTA,300
80,6,LA MUELA-LOS NACIMIENTOS DE LAS MOCITAS,1562.4437,MUY ALTA,269
81,6,RUTA DE LOS BANDOLEROS VERDE DE CHICLANA,10276.1882,ALTA,268
82,6,DOLMEN DE LOS LAJARES Y CANCHA BERMEJA DEL CAPITÁN,17887.794,MEDIA,250
83,6,LLANO DEL REPUBLICANO DEL AGUILA PINAR DEL REY,4036.1931,MEDIA,127
84,6,GARGANTA DE MILLAN DE BOGAS,19472.3543,MEDIA,182
85,6,SUBIDA A LA SILLA TRES PINOS,8243.0465,ALTA,252
86,6,SUBIDA AL PICACHO ,15410.7487,ALTA,43
87,6,RÍO GUADALMESÍ DE LOS MOLINOS DE SETENIL,15649.4846,PROFESIONAL,86
88,6,RUTA DE LOS MOLINOS ALMORAIMA,1290.164,BAJA,173
89,6,LAS QUEBRADAS SALINA-FANGOS MAREALES DEL RÍO BARBATE,14049.3432,ALTA,282
90,7,CONIL DE LA FRONTERA-VEJER DE LA FRONTERA DE MECA,11363.0245,MUY ALTA,35
91,7,EL SALTILLO DE PUERTO OSCURO,7412.9761,BAJA,140
92,7,CAÑADA REAL LOS RATONES DE SAN ANTÓN,3712.475,PROFESIONAL,243
93,7,LA PRESA DEL EMBALSE DE BARBATE DEL EMBALSE DE BORNOS,6022.4216,MUY BAJA,180
94,7,ALGODONALES-LOS NACIMIENTOS DE EL BOSQUE-CAMINO DEL ESPINO,9125.4485,PROFESIONAL,76
95,7,ESTUARIO DEL GUADIARO DE LOS MARCHANTES,19148.5952,MUY ALTA,57
96,7,RUTA DEL VIAJERO VERDE DE SANLÚCAR DE BARRAMEDA,7859.6625,PROFESIONAL,172
97,7,VEREDA DE UBRIQUE - ASOMADILLA DEL EMBALSE DE ARCOS,5899.0496,BAJA,75
98,7,ASCENSO AL TAJO LAGARÍN AURELIA,5095.6241,MEDIA,59
99,7,GARGANTA DE BARRIDA FUENTES,15424.3192,PROFESIONAL,189
100,7,EL PALANCAR DE SAN CARLOS DEL TIRADERO,7803.0833,MEDIA,162
101,7,DOLMEN DE LOS LAJARES Y CANCHA BERMEJA ACANTILADO,1988.8588,BAJA,253
102,7,RÍO GUADALMESÍ DEL PALMONES,5527.3248,MEDIA,192
103,7,CAMPOBUCHE SALINA-FANGOS MAREALES DEL RÍO BARBATE,10898.1233,ALTA,46
104,7,SALTO DEL CABRERO DEL BARBATE,9141.2713,PROFESIONAL,269
105,8,VEREDA DE UBRIQUE - ASOMADILLA GANADERAS DE JIMENA,13423.1187,MUY ALTA,278
106,8,LA ALBINA DE ESPERILLA,6123.4579,BAJA,261
107,8,SUBIDA AL CERRO VERDUGO PLATERAS,15114.9273,MUY ALTA,49
108,8,SALTO DEL CABRERO AL ALJIBE,5068.5124,PROFESIONAL,183
109,8,CAMINO DE LA ERA EMPEDRADA DE HIGUERÓN,8516.1141,PROFESIONAL,220
110,8,CAMINO DE LOS CHARCONES VERDE DE SAN ROQUE,18188.1873,BAJA,154
111,8,FUENTES DEL RÍO HONDÓN DE MONTECOCHE,8085.2094,MUY BAJA,299
112,8,EL TORREÓN ALGARBES-BETIJUELO,19890.6616,MUY BAJA,272
113,8,EL CABRITO - PUERTO DEL BUJEO DE LOS LAJARES Y CANCHA BERMEJA,3287.7992,MUY ALTA,206
114,8,RÍO HOZGARGANTA DE BARRIDA,16744.9906,BAJA,57
115,8,RÍO DE LA MIEL DE SAN CARLOS DEL TIRADERO,13555.5258,MUY BAJA,67
116,8,LAGUNA DE BENAJIMA VERDE DEL LITORAL COSTA BALLENA-CHIPIONA,3296.0547,ALTA,286
117,8,DEHESA DEL BOYAR DE LA REGINOSA,7994.4703,BAJA,285
118,8,LAS AGUILILLAS - LAS GUAREÑAS DEL MORO,12672.4396,MEDIA,142
119,8,LOMAS GANADERAS DE JIMENA DE TRAFALGAR-CAÑOS DE MECA,10983.7006,BAJA,160
120,10,CARISSA AURELIA DE LOS FRANCESES,9080.364,PROFESIONAL,126
121,10,COLADA DE LA REGINOSA DEL CABRERO,6176.4604,BAJA,252
122,10,DE SETENIL A CAÑOS SANTOS PARDA,12899.8726,ALTA,234
123,10,CAMINO DE LOS PESCADORES ALHAJA,14274.2504,PROFESIONAL,240
124,10,LA GARGANTE VERDE DEL BARBATE,5698.0485,MEDIA,224
125,10,PUERTO DE BOLONIA-PULIDO SUARA,14398.525,MEDIA,256
126,10,LA MUELA-LOS NACIMIENTOS DE LOS BANDOLEROS,10838.8285,MEDIA,141
127,10,LAGUNA DE MEDINA DE GARCIAGO,8895.4089,MUY ALTA,242
128,10,EL TORREÓN VERDE DOS BAHIAS. TRAMO II,6059.4721,MEDIA,228
129,10,SUBIDA AL CERRO VERDUGO MENACHA,17377.6204,MUY BAJA,92
130,10,CANUTO DE RISCO BLANCO ENDORREICO DE CHICLANA,17645.1406,MUY BAJA,133
131,10,CORREDOR VERDE DEL PARQUE DE LAS CAÑADAS ALTO,4714.7213,MUY BAJA,264
132,10,RÍO HOZGARGANTA DE MONTECOCHE,1526.9388,MUY BAJA,255
133,10,COLADA DE FUENTE AMARGA VERDE DE ALGECIRAS,18557.5284,PROFESIONAL,298
134,10,MARISMAS DEL BARBATE LAS CANTERAS Y EL TEJÓN,15156.7302,MUY BAJA,60
135,11,ALBERITE PEDRIZA,11355.3576,ALTA,259
136,11,LA EXTENSA VEGA DE BORNOS TORREÓN,18596.0987,ALTA,294
137,11,SUBIDA AL TAJO DE UTRERA VERDE MATAGORDA,3575.7344,PROFESIONAL,217
138,11,RUTA ZAHARA - EL GASTOR PEDRIZA,10264.9804,MUY BAJA,61
139,11,LOS PUENTES ROMANOS DE MEDINA SIDONIA DE GARCIAGO,13508.6193,MUY ALTA,38
140,11,BUITRERAS DE ZAFRAMAGÓN VERDE DE SAN ROQUE,19093.1286,ALTA,171
141,11,CERRO DEL TAMBOR DE BENAJIMA,10037.0982,PROFESIONAL,65
142,11,CAÑADA REAL DE CORDERO ,18818.9668,MEDIA,160
143,11,HUERTA LAGARÍN CABRITO - PUERTO DEL BUJEO,5960.6189,MEDIA,291
144,11,TAJO DE LAS FIGURAS ACANTILADO,14270.3248,MUY ALTA,104
145,11,ARROYOMOLINOS ,14688.2223,ALTA,275
146,11,PUERTA VERDE DE SANLÚCAR DE BARRAMEDA RURALES DE ROTA,7306.4567,MUY ALTA,32
147,11,LOS LLANOS DEL BERRAL GUAREÑAS - PASADA DEL BOYAL,18153.7174,MUY ALTA,184
148,11,CANUTO DEL ARROYO ALGAMASILLA ,4734.6894,MUY ALTA,64
149,11,TORRE GUADALMESÍ DE LA REGINOSA,19401.0835,MEDIA,42
150,12,PUERTA VERDE DE CHICLANA DEL ARROYO ALGAMASILLA,11597.3317,MEDIA,85
151,12,GARGANTA SECA Y PUERTO DE LA BREÑA DE LOS MOLINOS DE SETENIL,1212.5574,MUY BAJA,45
152,12,CASA DEL DORNAJO DE BENAJIMA,12092.8373,MUY BAJA,217
153,12,RIO MAJACEITE VERDE DE SAN FERNANDO,16028.2979,MUY BAJA,255
154,12,CAMINO DEL GRULLO DEL ÁGUILA,1973.5234,ALTA,142
155,12,ARROYO DE SAN CARLOS DEL TIRADERO DEL AGUILA PINAR DEL REY,10973.8319,ALTA,151
156,12,BUITRERAS DE ZAFRAMAGÓN GARGANTE VERDE,1179.8488,MEDIA,130
157,12,ANTIGUA SALINA-FANGOS MAREALES DEL RÍO BARBATE DE LOS REMEDIOS,8216.1673,PROFESIONAL,268
158,12,CAMINO DEL GRULLO MUELA-LOS NACIMIENTOS,14069.592,PROFESIONAL,291
159,12,CERROS DE PALMITOS Y BARBECHOS DE LA ESPERANZA,3441.3177,ALTA,75
160,12,CALAS DE ROCHE DE LUZ,8773.3537,BAJA,280
161,12,TORRE GUADALMESÍ ALGARBES-BETIJUELO,16144.0152,MEDIA,169
162,12,EL TREN DEL AZÚCAR DE PUERTO OSCURO,9750.2755,PROFESIONAL,174
163,12,RUTA DE LOS MOLINOS DEL JUDÍO,10812.1728,MUY BAJA,133
164,12,GARGANTA DE LA FUENTE SANTA DEL AGUILA PINAR DEL REY,16565.3306,ALTA,188
165,13,LAGUNA DE BENAJIMA VENTAS TRASHUMANTES,9184.0926,ALTA,101
166,13,NAVAZO ALTO VERDE DE ALGECIRAS,7455.6577,MUY BAJA,196
167,13,CORREDOR VERDE DOS BAHIAS. TRAMO II DE LÍBAR,17963.6246,ALTA,249
168,13,PINAR DE LA ALGAIDA-SALINA DESAMPARADOS DE FUENTE AMARGA,6413.6943,BAJA,280
169,13,LOMAS GANADERAS DE JIMENA VERDE DE CHICLANA,13450.1773,MUY ALTA,168
170,13,ESCARPES DEL RIO TREJO VERDE DOS BAHIAS. TRAMO IV,15117.2512,MEDIA,63
171,13,GARGANTA DE PUERTO OSCURO DE LA JANDA,10512.2912,MUY BAJA,99
172,13,LOS LANCES DE MECA,16265.1113,BAJA,117
173,13,MONTE DE HIGUERÓN ,19754.7075,PROFESIONAL,68
174,13,RÍO HOZGARGANTA SECA Y PUERTO DE LA BREÑA,12732.0852,BAJA,118
175,13,LOS ALGARBES-BETIJUELO DEL MORO,3663.495,PROFESIONAL,123
176,13,PUERTA VERDE DE SAN FERNANDO DEL DORNAJO,17972.5087,BAJA,179
177,13,DESCENSO DEL ARROYO DE LA GARGANTA DEL BOYAR PUENTES ROMANOS DE MEDINA SIDONIA,1076.0235,PROFESIONAL,143
178,13,EL TESORILLO DEL ALJIBE,11467.6715,BAJA,204
179,13,PUERTO DEL BUJEO - HOYO DE DON PEDRO DEL BOQUERÓN,4847.244,PROFESIONAL,252
180,15,SALTO DEL CABRERO DE TARAJE Y SAN ANTONIO,14814.5912,MUY ALTA,239
181,15,GR-7 DEL PAJARRACO,1172.1351,BAJA,30
182,15,LOS LLANOS DEL BERRAL DE TRAFALGAR-CONIL DE LA FRONTERA,1086.9339,MUY ALTA,95
183,15,OCURI HONDO,4174.431,ALTA,168
184,15,MEANDROS DEL GUADALETE ALMORAIMA,3953.1796,MEDIA,92
185,15,DESCENSO DEL ARROYO DE LA GARGANTA DEL BOYAR AL PICO ALBARRACÍN,4843.1677,PROFESIONAL,248
186,15,SUBIDA AL MOGOTE DE LUZ,9838.4053,PROFESIONAL,154
187,15,SUBIDA AL CERRO PICACHO DE PUERTO SERRANO DE BOLONIA,12231.5959,ALTA,68
188,15,SIERRA DE MONTECOCHE DEL RINCONCILLO,7826.337,MEDIA,254
189,15,EL TORREÓN VERDE DEL PUERTO DE SANTA MARÍA,8751.5322,BAJA,246
190,15,GARGANTA DE MILLAN DE LA ESPERANZA,7747.8086,PROFESIONAL,105
191,15,CAMINO DE CHAVARRIA VERDE DE CHICLANA,1599.7664,BAJA,216
192,15,SIERRA DE FATES DE LOS HURONES,12871.1799,MEDIA,275
193,15,LA ATALAYA DE BOLONIA-PULIDO,11320.1553,ALTA,60
194,15,PUERTA VERDE DE CHICLANA ALHAJA,15388.79,MEDIA,86
195,16,COLADA DE LA COSTA NACIMIENTOS,5095.6461,BAJA,298
196,16,CAMINO DEL GRULLO DE VENTA DE LECHE,10108.1534,MEDIA,41
197,16,SUBIDA AL CERRO ALBARRACINEJO VERDE DE SAN FERNANDO,13391.0614,MEDIA,101
198,16,LA PRESA DEL EMBALSE DE BARBATE AL MOGOTE,18509.7689,MEDIA,177
199,16,SIERRA DE MONTECOCHE FRONTERIZO,8450.5114,PROFESIONAL,85
200,16,MURTA VERDE,3686.4312,PROFESIONAL,194
201,16,VEGA DEL GUADIARO ROCINEJO,5692.6958,PROFESIONAL,282
202,16,ALGODONALES-LOS NACIMIENTOS DE ESPERILLA,8297.3468,PROFESIONAL,227
203,16,CALAS DE ROCHE PEDRIZA,19813.5202,MUY ALTA,275
204,16,CONIL DE LA FRONTERA-VEJER DE LA FRONTERA DE ALGECIRAS,19642.1477,BAJA,242
205,16,CERRO DEL CHARCO PALANCAR,18863.5029,ALTA,64
206,16,CONIL DE LA FRONTERA-VEJER DE LA FRONTERA HONDO,11434.3452,PROFESIONAL,270
207,16,LAGUNAS LAS CANTERAS Y EL TEJÓN DE LA ALGAIDA-SALINA DESAMPARADOS,15361.9662,ALTA,191
208,16,CAMINO DE LA ERA EMPEDRADA DE LA JANDA,8395.4872,MUY ALTA,73
209,16,LOMAS GANADERAS DE JIMENA PEDRIZA,2995.3212,PROFESIONAL,113
210,17,CORREDOR VERDE DEL LITORAL COSTA BALLENA-CHIPIONA ROCINEJO,3236.1202,ALTA,291
211,17,LOS ALGARBES-BETIJUELO MAJACEITE,8699.8647,MEDIA,141
212,17,DEL ACANTILADO DE BARBATE,14009.2441,ALTA,146
213,17,GARGANTA DE BOGAS PEÑA,2271.6724,PROFESIONAL,201
214,17,CABO DE TRAFALGAR-CONIL DE LA FRONTERA CALZADA DEHESA BOYAL,1961.817,BAJA,70
215,17,SIERRA DE MONTECOCHE DE GAIDOVAR,9158.5904,ALTA,149
216,17,CORDEL DE MORÓN-MIRADOR DE LAS TOSCAS DE LA COSTA,14766.8397,BAJA,242
217,17,LA MUELA-LOS NACIMIENTOS DE LOS PESCADORES,2182.8956,PROFESIONAL,231
218,17,QUINTAS DE ALGAR VERDE DE LA LÍNEA DE LA CONCEPCIÓN,13555.158,ALTA,71
219,17,RUINAS DE ESPERILLA DE TARAJE Y SAN ANTONIO,13242.9881,ALTA,184
220,17,PINAR DE LOS FRANCESES REAL LOS RATONES,17135.0525,BAJA,65
221,17,SALINAS Y CAÑADAS DE PRADO DEL REY Y  EL BOSQUE DE LOS BATANES,19479.9805,BAJA,295
222,17,LA CALZADA ROMANA DEL RÍO HONDÓN,10554.6479,MUY BAJA,238
223,17,GARGANTA DE LA FUENTE SANTA LADERA,17670.6831,PROFESIONAL,145
224,17,PUERTA VERDE DE ALGECIRAS ,19375.0264,MEDIA,74
225,18,CALAS DE ROCHE DEL PILAR,17597.9968,ALTA,109
226,18,RIO MAJACEITE REAL LOS RATONES,9605.4317,PROFESIONAL,98
227,18,EL PALANCAR DE TRAFALGAR-CAÑOS DE MECA,14826.2254,MUY BAJA,57
228,18,CORREDOR VERDE DOS BAHIAS. TRAMO IV MEDIEVAL DE GRAZALEMA,19194.6765,MUY BAJA,156
229,18,LA MENACHA DE LA VENTA DEL SILLETERO,14445.0829,MUY ALTA,57
230,18,PUERTA VERDE DE JEREZ DE LA FRONTERA VERDE DE SAN FERNANDO,17880.4137,ALTA,235
231,18,GR-7 TREN DEL AZÚCAR,8341.7719,BAJA,259
232,18,CORDEL DE MORÓN-MIRADOR DE LAS TOSCAS VERDE DOS BAHIAS. TRAMO IV,11066.8629,MEDIA,246
233,18,CAMINO ALTO DE EL BOSQUE DE LOS LAJARES Y CANCHA BERMEJA,7324.6234,MEDIA,204
234,18,MOJÓN DE LA VÍBORA HONDO,1895.473,MUY ALTA,231
235,18,CAMINO DEL PILAR ,2016.4993,MUY BAJA,85
236,18,PICACHO-PEGUERA DEL RATÓN,2122.8444,BAJA,38
237,18,CERRO DE LA PLAZA DE ARMAS DEL BOYAR,8382.0421,MUY ALTA,226
238,18,COLA DEL EMBALSE DE ARCOS NACIMIENTOS,17688.5883,MUY BAJA,57
239,18,PUERTA VERDE DE SAN FERNANDO DEL EMBALSE DE ARCOS,19528.2082,MUY ALTA,132
240,20,FRONTERA FORESTAL MEDIEVAL DE GRAZALEMA,16769.1103,ALTA,58
241,20,COLADA DE VENTA DE LECHE PARDA,8480.1955,MUY BAJA,163
242,20,PICACHO-PEGUERA SETENIL A CAÑOS SANTOS,12541.1327,MUY ALTA,80
243,20,VALLE DE OJÉN DE LOS CHARCONES,8704.5179,PROFESIONAL,164
244,20,ALGODONALES-LOS NACIMIENTOS DEL GUADALETE,10513.0343,MUY ALTA,279
245,20,FUENTE DE RAMOS DE LA JANDA,13308.0167,PROFESIONAL,31
246,20,FÁBRICAS DE LUZ AL TAJO DE UTRERA,8271.6323,ALTA,115
247,20,GARGANTA DE BOGAS SECA Y PUERTO DE LA BREÑA,12623.097,MUY ALTA,171
248,20,LOS LANCES ANTIGUA LAGUNA DE LA JANDA,4249.2973,ALTA,125
249,20,PARQUE FLUVIAL DEL RÍO PÍCARO DEL BARBATE,11830.9837,BAJA,64
250,20,FRONTERA FORESTAL DE LOS BATANES,15789.4453,MUY ALTA,53
251,20,ESCARPES DEL RIO TREJO DE ROCHE,4464.1905,ALTA,227
252,20,SILLA DEL PAPA DE ROCHE,2646.0783,MUY ALTA,191
253,20,LAS FUENTES SETENIL A CAÑOS SANTOS,15945.9021,MUY ALTA,180
254,20,LOS PUENTES ROMANOS DE MEDINA SIDONIA DE FUENTE AMARGA,14854.2713,MEDIA,298
255,21,SIERRA DE LAS VIÑAS ALTO DE EL BOSQUE,11597.4383,ALTA,100
256,21,CAMINO DEL GRULLO DE EL BOSQUE-CAMINO DEL ESPINO,5822.0515,MEDIA,143
257,21,BUITRERAS DE ZAFRAMAGÓN DEL RABEL,17755.7384,MUY ALTA,233
258,21,CORREDOR VERDE DOS BAHIAS. TRAMO IV DE LOS MOLINOS,14502.1306,PROFESIONAL,235
259,21,SUBIDA A LA CRUZ DEL TAJO DE UBRIQUE DOLORES,11184.8635,PROFESIONAL,174
260,21,LA LADERA LADERA,17554.9704,MUY BAJA,177
261,21,CAÑADA REAL DE JEREZ A RONDA DE LAS VIÑAS,7444.3306,MUY BAJA,189
262,21,LOS LANCES DEL ARROYO DE LA GARGANTA DEL BOYAR,9919.7223,MEDIA,65
263,21,CAMPOBUCHE VERDE DE JEREZ DE LA FRONTERA,1467.7811,PROFESIONAL,284
264,21,VÍA VERDE DE LA COSTA NOROESTE DE LOS PESCADORES,7022.9002,BAJA,276
265,21,LA ALBINA DE LA VENTA DEL SILLETERO,5087.514,ALTA,188
266,21,CONIL DE LA FRONTERA-VEJER DE LA FRONTERA DEL MORO,4507.7928,BAJA,38
267,21,VÍA VERDE DE LA SIERRA DE ROCHE,11598.7183,MUY BAJA,76
268,21,RIBERA DEL EMBALSE DE BORNOS GUAREÑAS - LA SUARA,16145.3714,PROFESIONAL,91
269,21,GARGANTA DEL RAYO DE LA VÍBORA,12871.773,MUY BAJA,51
270,22,LA GARGANTE VERDE DE LAS PRESILLAS,4388.4473,ALTA,167
271,22,GARGANTA DE BARRIDA CAMARINAL,9033.1238,ALTA,39
272,22,CORDEL DE LOS MARCHANTES A LA CRUZ DEL TAJO DE UBRIQUE,8837.9497,ALTA,273
273,22,MONTE ALGAIDA TOLETA,15961.4404,MEDIA,83
274,22,VEJER DE LA FRONTERA-PALOMAR DE LA BREÑA DE LOS ATUNES-ATLANTERRA,10442.3501,ALTA,142
275,22,RIBERA DE GAIDOVAR ZAHARA - EL GASTOR,8075.5727,MEDIA,231
276,22,MONTE DE LA TORRE DEL BUJEO - HOYO DE DON PEDRO,11256.8656,ALTA,185
277,22,CAÑADA REAL DE CORDERO LANCES,18040.8518,BAJA,299
278,22,ARROYO CAÑUELO ANTIGUA LAGUNA DE LA JANDA,10010.6911,ALTA,159
279,22,SUBIDA AL MOGOTE VERDE DE LA SIERRA,10342.3744,BAJA,292
280,22,TORRE GUADALMESÍ ,6642.0838,MEDIA,129
281,22,SIERRA DE MONTECOCHE MUELA-LOS NACIMIENTOS,6160.0129,BAJA,136
282,22,ROJITAN DE LOS BANDOLEROS,10923.2536,MUY ALTA,268
283,22,LA MENACHA DE LOS FRANCESES,19695.7297,PROFESIONAL,224
284,22,CARISSA AURELIA VERDE DE SAN ROQUE,7496.7157,PROFESIONAL,132
285,23,LA MENACHA DE BOLONIA-PULIDO,12202.9009,MEDIA,116
286,23,CERRO DEL ÁGUILA DE GAIDOVAR,14802.9394,BAJA,95
287,23,PASEO DE LA CRUZ DE LA SIERRA DE LIJAR DE BOGAS,7153.9409,BAJA,230
288,23,ZAHARA DE LOS ATUNES-ATLANTERRA CARBONEROS,3388.2172,MEDIA,65
289,23,CABO DE TRAFALGAR-CONIL DE LA FRONTERA REAL DE CORDERO,8603.3963,BAJA,36
